timeStamp,gps_speed,cTemp,eLoad,iat,kpl,rpm,speed,tPos
23-12-2017 06:03,0,0,0,0,0,0,0,0
23-12-2017 06:03,0,0,0,0,0,0,0,0
23-12-2017 06:03,0,0,0,0,0,0,0,0
23-12-2017 06:03,0,0,0,0,0,0,0,0
23-12-2017 06:03,0,0,0,0,0,0,0,0
23-12-2017 06:03,0,0,0,0,0,0,0,0
23-12-2017 06:03,0,0,0,0,0,0,0,0
23-12-2017 06:03,0,0,0,0,0,0,0,0
23-12-2017 06:03,0,0,0,0,0,0,0,0
23-12-2017 06:03,0,0,0,0,0,0,0,0
23-12-2017 06:03,0,0,0,0,0,0,0,0
23-12-2017 06:03,0,0,0,0,0,0,0,0
23-12-2017 06:03,0,0,0,0,0,0,0,0
23-12-2017 06:03,0,0,0,0,0,0,0,0
23-12-2017 06:03,0,0,0,0,0,0,0,0
23-12-2017 06:03,0,0,0,0,0,0,0,0
23-12-2017 06:03,0,0,0,0,0,0,0,0
23-12-2017 06:03,0,0,0,0,0,0,0,0
23-12-2017 06:03,0,0,0,0,0,0,0,0
23-12-2017 06:03,0,0,0,0,0,0,0,0
23-12-2017 06:03,0,0,0,0,0,0,0,0
23-12-2017 06:03,0,0,0,0,0,0,0,0
23-12-2017 06:03,0,0,0,0,0,0,0,0
23-12-2017 06:03,0,0,0,0,0,0,0,0
23-12-2017 06:03,0,0,0,0,0,0,0,0
23-12-2017 06:03,0,0,0,0,0,0,0,0
23-12-2017 06:03,0,0,0,0,0,0,0,0
23-12-2017 06:03,2.0372,0,0,0,0,0,0,0
23-12-2017 06:03,2.2224,0,0,0,0,0,0,0
23-12-2017 06:04,1.4816,0,0,0,0,0,0,0
23-12-2017 06:04,2.0372,0,0,0,0,0,0,0
23-12-2017 06:04,1.4816,0,0,0,0,0,0,0
23-12-2017 06:04,0,0,0,0,0,0,0,0
23-12-2017 06:04,0,0,0,0,0,0,0,0
23-12-2017 06:04,0,0,0,0,0,0,0,0
23-12-2017 06:04,0,0,0,0,0,0,0,0
23-12-2017 06:04,0,0,0,0,0,0,0,0
23-12-2017 06:04,0,0,0,0,0,0,0,0
23-12-2017 06:04,0,0,0,0,0,0,0,0
23-12-2017 06:04,0,0,0,0,0,0,0,0
23-12-2017 06:04,0,0,0,0,0,0,0,0
23-12-2017 06:04,0,0,0,0,0,0,0,0
23-12-2017 06:04,0,0,0,0,0,0,0,0
23-12-2017 06:04,0,0,0,0,0,0,0,0
23-12-2017 06:04,0,0,0,0,0,0,0,0
23-12-2017 06:04,0,0,0,0,0,0,0,0
23-12-2017 06:04,0,0,0,0,0,0,0,0
23-12-2017 06:04,0,0,0,0,0,0,0,0
23-12-2017 06:04,0,0,0,0,0,0,0,0
23-12-2017 06:04,0,0,0,0,0,0,0,0
23-12-2017 06:04,0,0,0,0,0,0,0,0
23-12-2017 06:04,0,0,0,0,0,0,0,0
23-12-2017 06:04,0,0,0,0,0,0,0,0
23-12-2017 06:04,0,0,0,0,0,0,0,0
23-12-2017 06:04,0,0,0,0,0,0,0,0
23-12-2017 06:04,0,0,0,0,0,0,0,0
23-12-2017 06:04,0,0,0,0,0,0,0,0
23-12-2017 06:04,0,0,0,0,0,0,0,0
23-12-2017 06:04,0,0,0,0,0,0,0,0
23-12-2017 06:04,0,0,0,0,0,0,0,0
23-12-2017 06:04,0,0,0,0,0,0,0,0
23-12-2017 06:04,0,0,0,0,0,0,0,0
23-12-2017 06:04,0,0,0,0,0,0,0,0
23-12-2017 06:04,0,0,0,0,0,0,0,0
23-12-2017 06:04,0,0,0,0,0,0,0,0
23-12-2017 06:04,0,0,0,0,0,0,0,0
23-12-2017 06:04,0,0,0,0,0,0,0,0
23-12-2017 06:04,0,0,0,0,0,0,0,0
23-12-2017 06:04,0,0,0,0,0,0,0,0
23-12-2017 06:04,0,0,0,0,0,0,0,0
23-12-2017 06:04,0,0,0,0,0,0,0,0
23-12-2017 06:04,0,0,0,0,0,0,0,0
23-12-2017 06:04,0,0,0,0,0,0,0,0
23-12-2017 06:04,0,0,0,0,0,0,0,0
23-12-2017 06:04,0,0,0,0,0,0,0,0
23-12-2017 06:04,0,0,0,0,0,0,0,0
23-12-2017 06:04,0,0,0,0,0,0,0,0
23-12-2017 06:04,0,0,0,0,0,0,0,0
23-12-2017 06:04,0,0,0,0,0,0,0,0
23-12-2017 06:04,0,0,0,0,0,0,0,0
23-12-2017 06:04,0,0,0,0,0,0,0,0
23-12-2017 06:04,0,0,0,0,0,0,0,0
23-12-2017 06:04,0,0,0,0,0,0,0,0
23-12-2017 06:04,0,0,0,0,0,0,0,0
23-12-2017 06:04,0,0,0,0,0,0,0,0
23-12-2017 06:04,0,0,0,0,0,0,0,0
23-12-2017 06:04,0,0,0,0,0,0,0,0
23-12-2017 06:04,0,0,0,0,0,0,0,0
23-12-2017 06:04,0,0,0,0,0,0,0,0
23-12-2017 06:05,0,0,0,0,0,0,0,0
23-12-2017 06:05,0,0,0,0,0,0,0,0
23-12-2017 06:05,0,0,0,0,0,0,0,0
23-12-2017 06:05,0,0,0,0,0,0,0,0
23-12-2017 06:05,0,0,0,0,0,0,0,0
23-12-2017 06:05,0,0,0,0,0,0,0,0
23-12-2017 06:05,0,0,0,0,0,0,0,0
23-12-2017 06:05,0,0,0,0,0,0,0,0
23-12-2017 06:05,0,0,0,0,0,0,0,0
23-12-2017 06:05,0,0,0,0,0,0,0,0
23-12-2017 06:05,0,0,0,0,0,0,0,0
23-12-2017 06:05,0,0,0,0,0,0,0,0
23-12-2017 06:05,0,0,0,0,0,0,0,0
23-12-2017 06:05,0,0,0,0,0,0,0,0
23-12-2017 06:05,0,0,0,0,0,0,0,0
23-12-2017 06:05,0,0,0,0,0,0,0,0
23-12-2017 06:05,0,0,0,0,0,0,0,0
23-12-2017 06:05,0,0,0,0,0,0,0,0
23-12-2017 06:05,0,0,0,0,0,0,0,0
23-12-2017 06:05,0,0,0,0,0,0,0,0
23-12-2017 06:05,0,0,0,0,0,0,0,0
23-12-2017 06:05,0,0,0,0,0,0,0,0
23-12-2017 06:05,0,0,0,0,0,0,0,0
23-12-2017 06:05,0,0,0,0,0,0,0,0
23-12-2017 06:05,0,0,0,0,0,0,0,0
23-12-2017 06:05,0,0,0,0,0,0,0,0
23-12-2017 06:05,0,0,0,0,0,0,0,0
23-12-2017 06:05,0,0,0,0,0,0,0,0
23-12-2017 06:05,0,0,0,0,0,0,0,0
23-12-2017 06:05,0,0,0,0,0,0,0,0
23-12-2017 06:05,0,0,0,0,0,0,0,0
23-12-2017 06:05,0,0,0,0,0,0,0,0
23-12-2017 06:05,0,0,0,0,0,0,0,0
23-12-2017 06:05,0,0,0,0,0,0,0,0
